Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
posición;recopilador de datos;una semana;compartido;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;siempre;no especificado;En desacuerdo;En desacuerdo;Totalmente de acuerdo;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;un año;compartido;En desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;;En desacuerdo;En desacuerdo;Denegar
video;usuario;no especificado;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;recopilador de datos;una semana;compartido;En desacuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;recopilador de datos;un año;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Denegar
video;usuario;no especificado;compartido;De acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;recopilador de datos;una semana;compartido;De acuerdo;De acuerdo;;;De acuerdo;Totalmente en desacuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;En desacuerdo;De acuerdo;;En desacuerdo;Totalmente en desacuerdo;Permitir
posición;recopilador de datos;un año;compartido;Ni en desacuerdo ni de acuerdo;En desacuerdo;De acuerdo;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;usuario;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;recopilador de datos;una semana;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;un año;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;usuario;no especificado;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;una semana;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;recopilador de datos;un año;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;usuario;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;recopilador de datos;una semana;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;siempre;no especificado;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;Totalmente de acuerdo;Denegar
posición;recopilador de datos;un año;compartido;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;Denegar
video;usuario;no especificado;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Denegar
posición;recopilador de datos;una semana;compartido;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;un año;compartido;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;usuario;no especificado;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;una semana;compartido;Totalmente de acuerdo;Totalmente en desacuerdo;Ni en desacuerdo ni de acuerdo;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Totalmente en desacuerdo;Ni en desacuerdo ni de acuerdo;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;recopilador de datos;un año;compartido;Totalmente de acuerdo;Totalmente en desacuerdo;Ni en desacuerdo ni de acuerdo;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
video;usuario;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
